pdb_file,rsm_hydrophobicity_contacts
complex.0_0_15_corrected_H_0001,0.006949338508721712
complex.0_0_19_corrected_H_0001,0.012807396272203163
complex.0_0_38_corrected_H_0001,0.007971653582894922
complex.0_10_18_corrected_H_0001,0.010627653973101713
complex.0_10_29_corrected_H_0001,0.008469220913910957
complex.0_10_39_corrected_H_0001,0.007630790383908902
complex.0_10_45_corrected_H_0001,0.01205343335489488
complex.0_11_0_corrected_H_0001,0.011798444655461031
complex.0_11_12_corrected_H_0001,0.007894520929039951
complex.0_11_18_corrected_H_0001,0.010539646659549965
complex.0_11_31_corrected_H_0001,0.007240272265528094
complex.0_12_17_corrected_H_0001,0.01061965147178627
complex.0_12_23_corrected_H_0001,0.010101025652224538
complex.0_13_12_corrected_H_0001,0.010305271719871787
complex.0_13_2_corrected_H_0001,0.009464683811750937
complex.0_13_33_corrected_H_0001,0.010470363783105691
complex.0_13_45_corrected_H_0001,0.009139495195334687
complex.0_14_29_corrected_H_0001,0.00946874470774045
complex.0_14_2_corrected_H_0001,0.01154507958300264
complex.0_14_30_corrected_H_0001,0.009118462064060353
complex.0_14_39_corrected_H_0001,0.00976974094110111
complex.0_14_5_corrected_H_0001,0.011206776486621746
complex.0_14_8_corrected_H_0001,0.010935705631253682
complex.0_15_49_corrected_H_0001,0.0108349132951659
complex.0_15_4_corrected_H_0001,0.010612069616590161
complex.0_15_9_corrected_H_0001,0.008955345659619184
complex.0_16_0_corrected_H_0001,0.010968117734609699
complex.0_16_24_corrected_H_0001,0.011289178649806629
complex.0_17_13_corrected_H_0001,0.012062465198368774
complex.0_17_21_corrected_H_0001,0.011051775742493733
complex.0_17_33_corrected_H_0001,0.009385079751181158
complex.0_17_39_corrected_H_0001,0.011383652334933261
complex.0_17_40_corrected_H_0001,0.00957728667624852
complex.0_17_5_corrected_H_0001,0.010475013681129026
complex.0_17_8_corrected_H_0001,0.010224332856450604
complex.0_18_12_corrected_H_0001,0.009875848608568912
complex.0_18_42_corrected_H_0001,0.012272497772123242
complex.0_18_5_corrected_H_0001,0.010764369999840043
complex.0_19_6_corrected_H_0001,0.0113995657565361
complex.0_1_29_corrected_H_0001,0.007548760960550513
complex.0_1_38_corrected_H_0001,0.00617059612785216
complex.0_1_42_corrected_H_0001,0.007755874119485413
complex.0_1_44_corrected_H_0001,0.004684005071840274
complex.0_1_47_corrected_H_0001,0.0055854671472557295
complex.0_1_49_corrected_H_0001,0.007472842801989129
complex.0_2_0_corrected_H_0001,0.008141305113810343
complex.0_2_12_corrected_H_0001,0.008136798705032736
complex.0_2_17_corrected_H_0001,0.007437738569658193
complex.0_2_24_corrected_H_0001,0.0077978467628533376
complex.0_2_29_corrected_H_0001,0.007557324332825904
complex.0_2_31_corrected_H_0001,0.008190569958081319
complex.0_2_43_corrected_H_0001,0.0063528939225954125
complex.0_2_5_corrected_H_0001,0.008237899745016283
complex.0_3_32_corrected_H_0001,0.012777794950207278
complex.0_3_37_corrected_H_0001,0.008311695697488734
complex.0_3_41_corrected_H_0001,0.012042566682664676
complex.0_3_5_corrected_H_0001,0.011480352616881084
complex.0_4_0_corrected_H_0001,0.01249448042197892
complex.0_4_10_corrected_H_0001,0.016587707646872004
complex.0_4_12_corrected_H_0001,0.008787524860441414
complex.0_4_13_corrected_H_0001,0.010539542399094269
complex.0_4_21_corrected_H_0001,0.00361286190014416
complex.0_4_24_corrected_H_0001,0.010423860869108363
complex.0_4_29_corrected_H_0001,0.005890286692421981
complex.0_4_32_corrected_H_0001,0.008728151566638956
complex.0_4_34_corrected_H_0001,0.005110812276355578
complex.0_4_35_corrected_H_0001,0.012577605596584142
complex.0_4_36_corrected_H_0001,0.014916273489767897
complex.0_4_44_corrected_H_0001,0.007296319056522188
complex.0_4_48_corrected_H_0001,0.006914334696801394
complex.0_4_6_corrected_H_0001,0.01498507090811706
complex.0_4_7_corrected_H_0001,0.0077265203207955505
complex.0_4_8_corrected_H_0001,0.009304575632199887
complex.0_5_21_corrected_H_0001,0.0069076513396277555
complex.0_5_32_corrected_H_0001,0.007045297688707026
complex.0_5_40_corrected_H_0001,0.008846425498798379
complex.0_5_41_corrected_H_0001,0.011506568120447353
complex.0_5_6_corrected_H_0001,0.014802467861256455
complex.0_6_35_corrected_H_0001,0.007859826397022691
complex.0_6_38_corrected_H_0001,0.007721065228963862
complex.0_6_39_corrected_H_0001,0.009445980731078975
complex.0_7_43_corrected_H_0001,0.008322043373939244
complex.0_7_46_corrected_H_0001,0.009495819432599317
complex.0_7_6_corrected_H_0001,0.008643178449750807
complex.0_8_17_corrected_H_0001,0.010820825668547984
complex.0_8_29_corrected_H_0001,0.006149732048127536
complex.0_8_4_corrected_H_0001,0.006399278562645265
complex.0_9_19_corrected_H_0001,0.012395541263987194
complex.0_9_2_corrected_H_0001,0.007524826142933813
complex.0_9_33_corrected_H_0001,0.01109660720603388
complex.0_9_39_corrected_H_0001,0.008472529482033517
complex.0_9_9_corrected_H_0001,0.008077461912307576
complex.1_0_1_corrected_H_0001,0.006574822219134011
complex.1_0_25_corrected_H_0001,0.007194737521206299
complex.1_0_32_corrected_H_0001,0.006948961573554534
complex.1_0_33_corrected_H_0001,0.00897994969783271
complex.1_0_42_corrected_H_0001,0.011592848458745841
complex.1_0_47_corrected_H_0001,0.007557490949516761
complex.1_0_6_corrected_H_0001,0.006195234961447913
complex.1_10_10_corrected_H_0001,0.006702301917416987
complex.1_10_12_corrected_H_0001,0.01133016916272482
complex.1_10_46_corrected_H_0001,0.009785272626419152
complex.1_10_6_corrected_H_0001,0.009013994402629767
complex.1_11_16_corrected_H_0001,0.010936373425104751
complex.1_11_17_corrected_H_0001,0.010776051321418496
complex.1_11_23_corrected_H_0001,0.01069265104389708
complex.1_11_2_corrected_H_0001,0.008896374260473265
complex.1_11_37_corrected_H_0001,0.008728749732666631
complex.1_11_47_corrected_H_0001,0.007084855794178118
complex.1_12_15_corrected_H_0001,0.008395482654691496
complex.1_12_18_corrected_H_0001,0.00819414020768773
complex.1_12_21_corrected_H_0001,0.012391710237800092
complex.1_12_2_corrected_H_0001,0.009248692687259056
complex.1_12_31_corrected_H_0001,0.009836914999930644
complex.1_12_37_corrected_H_0001,0.008639747304639341
complex.1_12_40_corrected_H_0001,0.008759289040016308
complex.1_13_10_corrected_H_0001,0.008365554552071037
complex.1_13_38_corrected_H_0001,0.011523508032149857
complex.1_13_46_corrected_H_0001,0.010792144916128213
complex.1_14_41_corrected_H_0001,0.00715278711799017
complex.1_14_48_corrected_H_0001,0.010803747663043518
complex.1_15_15_corrected_H_0001,0.00995480516608
complex.1_15_20_corrected_H_0001,0.011707951483821737
complex.1_15_27_corrected_H_0001,0.010619779279600373
complex.1_15_30_corrected_H_0001,0.010011811870653954
complex.1_15_31_corrected_H_0001,0.011492505942611995
complex.1_15_38_corrected_H_0001,0.009262309840060694
complex.1_15_39_corrected_H_0001,0.011136356372471515
complex.1_15_43_corrected_H_0001,0.009240327384380978
complex.1_16_20_corrected_H_0001,0.00932050964827624
complex.1_16_22_corrected_H_0001,0.010487433633531601
