pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
sampled_3qc8_model_1,0.3687315634218289,0.30052592036063114,0.33809166040571
sampled_3qc8_model_10,0.9587020648967551,0.9745127436281859,0.9745127436281859
sampled_3qc8_model_100,0.8112094395280236,0.6746626686656672,0.7204730967849409
sampled_3qc8_model_101,0.8112094395280236,0.7496251874062968,0.7871064467766117
sampled_3qc8_model_102,0.8112094395280236,0.8245877061469266,0.8245877061469266
sampled_3qc8_model_103,0.7374631268436578,0.6741573033707865,0.6866416978776531
sampled_3qc8_model_104,0.8112094395280236,0.7496251874062968,0.7871064467766117
sampled_3qc8_model_105,0.6637168141592921,0.6756756756756757,0.6756756756756757
sampled_3qc8_model_106,0.5899705014749262,0.3750937734433608,0.42927398516295745
sampled_3qc8_model_107,0.5162241887905604,0.5251312828207052,0.5251312828207052
sampled_3qc8_model_108,0.8112094395280236,0.7496251874062968,0.7746126936531733
sampled_3qc8_model_109,0.6637168141592921,0.5247376311844079,0.5997001499250375
sampled_3qc8_model_11,0.5162241887905604,0.37453183520599254,0.3995006242197253
sampled_3qc8_model_110,0.9587020648967551,0.8995502248875562,0.9370314842578711
sampled_3qc8_model_111,0.3687315634218289,0.30007501875468867,0.3084104359423189
sampled_3qc8_model_112,0.9587020648967551,0.8245877061469266,0.8703981342662003
sampled_3qc8_model_113,0.4424778761061947,0.4497751124437781,0.4497751124437781
sampled_3qc8_model_114,0.4424778761061947,0.4497751124437781,0.4497751124437781
sampled_3qc8_model_115,0.7374631268436578,0.5997001499250375,0.6455105780443111
sampled_3qc8_model_116,0.4424778761061947,0.4514672686230248,0.4514672686230248
sampled_3qc8_model_117,0.8112094395280236,0.7507507507507507,0.757007007007007
sampled_3qc8_model_118,0.6637168141592921,0.6772009029345373,0.6772009029345373
sampled_3qc8_model_119,0.2949852507374631,0.3003003003003003,0.3003003003003003
sampled_3qc8_model_12,0.5162241887905604,0.5247376311844079,0.5247376311844079
sampled_3qc8_model_120,0.5899705014749262,0.5997001499250375,0.5997001499250375
sampled_3qc8_model_121,0.7374631268436578,0.5997001499250375,0.6746626686656672
sampled_3qc8_model_122,0.8112094395280236,0.8258258258258258,0.8258258258258258
sampled_3qc8_model_123,0.6637168141592921,0.5997001499250375,0.6371814092953523
sampled_3qc8_model_124,0.9587020648967551,0.9029345372460496,0.9405568096313018
sampled_3qc8_model_125,0.7374631268436578,0.6756756756756757,0.7132132132132132
sampled_3qc8_model_126,0.8849557522123894,0.9009009009009009,0.9009009009009009
sampled_3qc8_model_127,0.5162241887905604,0.5255255255255256,0.5255255255255256
sampled_3qc8_model_128,0.6637168141592921,0.5247376311844079,0.5705480593036815
sampled_3qc8_model_129,0.7374631268436578,0.5997001499250375,0.6746626686656672
sampled_3qc8_model_13,0.5899705014749262,0.5997001499250375,0.5997001499250375
sampled_3qc8_model_130,0.8849557522123894,0.7496251874062968,0.8245877061469266
sampled_3qc8_model_131,0.6637168141592921,0.6772009029345373,0.6772009029345373
sampled_3qc8_model_132,0.5899705014749262,0.599250936329588,0.599250936329588
sampled_3qc8_model_133,0.6637168141592921,0.6772009029345373,0.6772009029345373
sampled_3qc8_model_134,0.8849557522123894,0.7496251874062968,0.7954356155255705
sampled_3qc8_model_135,0.5899705014749262,0.5997001499250375,0.5997001499250375
sampled_3qc8_model_136,0.7374631268436578,0.5997001499250375,0.6746626686656672
sampled_3qc8_model_137,0.5899705014749262,0.601956358164033,0.601956358164033
sampled_3qc8_model_138,1.1799410029498525,0.5997001499250375,0.8412460436448441
sampled_3qc8_model_139,0.4424778761061947,0.44943820224719105,0.44943820224719105
sampled_3qc8_model_14,0.6637168141592921,0.6756756756756757,0.6756756756756757
sampled_3qc8_model_140,0.8112094395280236,0.8276899924755455,0.8276899924755455
sampled_3qc8_model_141,0.5162241887905604,0.5247376311844079,0.5247376311844079
sampled_3qc8_model_142,0.4424778761061947,0.4497751124437781,0.4497751124437781
sampled_3qc8_model_143,0.3687315634218289,0.3009781790820165,0.30568096313017307
sampled_3qc8_model_144,0.6637168141592921,0.4497751124437781,0.5330667999333666
sampled_3qc8_model_145,0.5899705014749262,0.3748125937031484,0.42895219057138095
sampled_3qc8_model_146,0.8112094395280236,0.8245877061469266,0.8245877061469266
sampled_3qc8_model_147,0.9587020648967551,0.8276899924755455,0.9029345372460496
sampled_3qc8_model_148,0.8112094395280236,0.7496251874062968,0.7871064467766117
sampled_3qc8_model_149,0.3687315634218289,0.3748125937031484,0.3748125937031484
sampled_3qc8_model_15,0.7374631268436578,0.67618332081142,0.7137490608564989
sampled_3qc8_model_150,0.5899705014749262,0.4497751124437781,0.4955855405630517
sampled_3qc8_model_151,0.4424778761061947,0.4497751124437781,0.4497751124437781
sampled_3qc8_model_152,0.7374631268436578,0.5997001499250375,0.6746626686656672
sampled_3qc8_model_153,0.8112094395280236,0.6741573033707865,0.71993341656263
sampled_3qc8_model_154,0.2949852507374631,0.29985007496251875,0.29985007496251875
sampled_3qc8_model_155,0.5162241887905604,0.4497751124437781,0.4872563718140929
sampled_3qc8_model_156,0.6637168141592921,0.5997001499250375,0.6371814092953523
sampled_3qc8_model_157,0.7374631268436578,0.3748125937031484,0.3789771780776278
sampled_3qc8_model_158,0.6637168141592921,0.6746626686656672,0.6746626686656672
sampled_3qc8_model_159,0.7374631268436578,0.6746626686656672,0.712143928035982
sampled_3qc8_model_16,0.6637168141592921,0.5997001499250375,0.6371814092953523
sampled_3qc8_model_160,1.1061946902654867,0.9745127436281859,1.0494752623688157
sampled_3qc8_model_161,1.2536873156342183,1.0502625656414104,1.1627906976744187
sampled_3qc8_model_162,0.9587020648967551,0.9745127436281859,0.9745127436281859
sampled_3qc8_model_163,0.7374631268436578,0.7507507507507507,0.7507507507507507
sampled_3qc8_model_164,0.9587020648967551,0.8245877061469266,0.8995502248875562
sampled_3qc8_model_165,0.5162241887905604,0.45011252813203295,0.48762190547636913
sampled_3qc8_model_166,0.7374631268436578,0.7496251874062968,0.7496251874062968
sampled_3qc8_model_167,0.7374631268436578,0.7496251874062968,0.7496251874062968
sampled_3qc8_model_168,0.7374631268436578,0.7496251874062968,0.7496251874062968
sampled_3qc8_model_169,0.9587020648967551,0.9009009009009009,0.9384384384384384
sampled_3qc8_model_17,0.8849557522123894,0.4497751124437781,0.5622188905547226
sampled_3qc8_model_170,0.8849557522123894,0.8252063015753939,0.86271567891973
sampled_3qc8_model_171,0.7374631268436578,0.7496251874062968,0.7496251874062968
sampled_3qc8_model_172,0.8849557522123894,0.8245877061469266,0.8620689655172413
sampled_3qc8_model_173,0.7374631268436578,0.7496251874062968,0.7496251874062968
sampled_3qc8_model_174,0.4424778761061947,0.45045045045045046,0.45045045045045046
sampled_3qc8_model_175,1.0324483775811208,0.9781790820165538,1.0158013544018059
sampled_3qc8_model_176,0.5899705014749262,0.5997001499250375,0.5997001499250375
sampled_3qc8_model_177,0.8849557522123894,0.8245877061469266,0.8620689655172413
sampled_3qc8_model_178,0.5162241887905604,0.4497751124437781,0.4872563718140929
sampled_3qc8_model_179,0.5899705014749262,0.5997001499250375,0.5997001499250375
sampled_3qc8_model_18,0.5162241887905604,0.5247376311844079,0.5247376311844079
sampled_3qc8_model_180,0.5899705014749262,0.45011252813203295,0.5251312828207052
sampled_3qc8_model_181,0.6637168141592921,0.6746626686656672,0.6746626686656672
sampled_3qc8_model_182,0.8112094395280236,0.8276899924755455,0.8276899924755455
sampled_3qc8_model_183,0.5899705014749262,0.5267118133935289,0.5643340857787811
sampled_3qc8_model_184,0.8849557522123894,0.8258258258258258,0.8633633633633633
sampled_3qc8_model_185,0.8849557522123894,0.7513148009015778,0.7946598855689765
sampled_3qc8_model_186,0.5899705014749262,0.5997001499250375,0.5997001499250375
sampled_3qc8_model_187,0.9587020648967551,0.8245877061469266,0.8995502248875562
sampled_3qc8_model_188,0.8849557522123894,0.7496251874062968,0.8245877061469266
sampled_3qc8_model_189,0.7374631268436578,0.7496251874062968,0.7496251874062968
sampled_3qc8_model_19,0.7374631268436578,0.7496251874062968,0.7496251874062968
sampled_3qc8_model_190,0.7374631268436578,0.5247376311844079,0.6080293186739963
sampled_3qc8_model_191,0.8849557522123894,0.9009009009009009,0.9009009009009009
sampled_3qc8_model_192,1.0324483775811208,0.9009009009009009,0.975975975975976
sampled_3qc8_model_193,0.5899705014749262,0.5247376311844079,0.5330667999333666
sampled_3qc8_model_194,0.8849557522123894,0.7496251874062968,0.8245877061469266
sampled_3qc8_model_195,0.5899705014749262,0.601956358164033,0.601956358164033
sampled_3qc8_model_196,0.9587020648967551,0.9009009009009009,0.9384384384384384
sampled_3qc8_model_197,0.5899705014749262,0.5247376311844079,0.5622188905547226
sampled_3qc8_model_198,0.9587020648967551,0.7496251874062968,0.8204231217724471
sampled_3qc8_model_199,0.6637168141592921,0.6746626686656672,0.6746626686656672
sampled_3qc8_model_2,0.5899705014749262,0.5247376311844079,0.5622188905547226
